club_name, club_speed, attack_angle, ball_speed, smash_factor, launch_angle, spin_RPM, max_height, land_angle, carry_distance
driver, 115, -0.9, 171, 1.49, 10.4, 2545, 35, 39, 282
3wood, 110, -2.3, 162, 1.47, 9.3, 3663, 32, 44, 249
5wood, 106, -2.5, 156, 1.47, 9.7, 4322, 33, 48, 236
hybrid, 102, -2.4, 149, 1.47, 10.2, 4587, 31, 49, 231
3iron, 100, -2.5, 145, 1.46, 10.3, 4404, 30, 48, 218
4iron, 98, -2.9, 140, 1.44, 10.8, 4782, 31, 49, 209
5iron, 96, -3.4, 135, 1.41, 11.9, 5280, 33, 50, 199
6iron, 94, -3.7, 130, 1.39, 14, 6204, 32, 50, 188
7iron, 92, -3., 123, 1.34, 16.1, 7124, 34, 51, 176
8iron, 89, -4.2, 118, 1.33, 17.8, 8078, 33, 51, 164
9iron, 87, -4.3, 112, 1.29, 20, 8793, 32, 52, 152
pw, 84, -4.7, 104, 1.24, 23.7, 9316, 32, 52, 142
driver, 96, 2.8, 143, 1.49, 12.6, 2506, 26, 36, 245
3wood, 92, -0.8, 135, 1.47, 11.6, 2595, 25, 38, 200
5wood, 90, -1.6, 130, 1.46, 12.3, 4320, 25, 43, 189
hybrid, 87, -1.9, 125, 1.44, 13.9, 4504, 25, 45, 178
4iron, 82, -1.7, 118, 1.43, 13.9, 4608, 25, 43, 175
5iron, 81, -2, 114, 1.42, 14.6, 4966, 25, 45, 166
6iron, 80, -2.3, 111, 1.41, 16.7, 5904, 25, 46, 155
7iron, 78, -2.5, 106, 1.38, 18.5, 6630, 26, 47, 143
8iron, 76, -2.8, 102, 1.36, 20.8, 7413, 27, 47, 133
9iron, 74, -3.2, 95, 1.3, 23.5, 7605, 27, 48, 123
pw, 72, -3.2, 88, 1.25, 25.2, 8465, 27, 48, 111
driver, 110, -0.7, 158, 1.44, 12.2, 4169, 42, 43, 235
driver, 109.2, -1.2, 145.4, 1.33, 9.2, 3116, 24, 33, 223
driver, 110.1, -1.5, 154.9, 1.41, 7.4, 2740, 11, 28, 213